comment,class_label
लेकिन isis और आतंकवादी संगठन से तो जरूर मेल खता है ये एक कड़वा सच है,OAG
तू भौंको तो देशभक्ती हम बोले तो देशद्रोही।,OAG
लालू चारा खाया न इस लिये बुधी सटीया,OAG
तडीपार,OAG
"लाल बत्ती हटाने से देश का कितना बोझ कम होगा,?
क्या लाल बत्ती हटाने से V.I.P कल्चर खत्म हो जायेगा,?
अगर हटाना ही है तो -Z+ सुरक्षा हटाओ,
फ्री हवाई यात्रा हटाओ,
रेलवे की मुफ्त यात्रा हटाओ,
संसद की कैंटीन हटाओ,
सांसद,विधायकों की पेंशन हटाओ,
नेताओ के आगे पीछे रहने वाले I.A.S-I.P.S हटाओ,
यह सब करने से देश की जनता को लाभ हो सकता है बिना मतलब की नौटंकी से आम जनता कोई लाभ नही होने वाला है.!!
अगर आप सहमत हो तो शेयर अवश्य करें,,,",OAG
अखिलेश भाई आप निश्चय ही एक कामियाब नेता है। आपके फ़ेल होने का मुख्य कारण ये की आपको किसी सहारे की जरूरत नहीं थी फिर भी आपने सहारा किया। और सहारा भी उसका जो पहले से बेसहारा है?अगर आप अपने मन से सवालो के उत्तर लिखते तो शायद आप 10%पास होते मगर आपने नकल भी उस की मारी जो आज तक पास होने की जद्दोजहद मे है????,OAG
तुमलोग बस घनटि बजावो दोसरा काम नही करसकतै तुमलोग बस घनटी ही लाईकहे,OAG
"जब हिंदुस्तानी हिंदू बात कर रहे हो
 तब पाकिस्तानी भिखारियों को बीच
 मे नही टपकना चाहिए",OAG
तू सैनिक के परिवार से है लेकिन आज तक तुझे 2 सब्द बोलते हुए नहीं देखा सैनिको के लिए,OAG
"⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽
आओ - हम सब मुसलमान मिलकर ! 4 बीबी और 40 बच्चे, पैदा करके ! एक नंगे, भूखे, लाचार और ""अपाहिज"" इस्लाम की, मजबूत नींव रखें !
⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽",OAG
समाजवादी पार्टी वाले कह रहे है शर्म नही उनको वो तो खुद isi के हाथों की कटपुतली बने हुऐ है।,OAG
"कुमार  विश्वास  ये  आपने  बहुत  मूर्खतापूर्ण  video छोड  दिया  है  जिसकी timing बहुत  ही  ढूर्तता के  साथ चुनी  है  आपने .अपने शब्दो  के प्रवाह  पर  मोहित ,आपने सोचा  ही नही कि  English  में  एक  शब्द  होता है -unequivocal.इस  शब्द  की  मर्यादा  आपने  लांघ  दी है .विरोधियों के हाथ ladduonं से भर  दिये वो भी  ऐसे  वकत !आपने  भी योगेन्द्र Yadav ही banna था ? औरविन्दजी mahaan हैं Jo ये घाव  भी हंस  कर झेल  रहे हैं   . मैं आपकी भरपूर निन्दा  कारती  hoon.जो vyakti ज़बां  के घोडे  पर अंधाधुन्द  सवार हैं उसकी  मेरी नज़र  में  कोई इज्ज़त  नही होनी  चाहिये .",OAG
आठ सिटे भी नही आयेगी राजस्थान मे बीजेपी को,OAG
तुमने सोनीयाका सिना दिखाँया था ना? उसका क्या हुवा?,CAG
"...कल पाकिस्तान 250 किमी घुसकर दिल्ली में बैठे भ्रष्ट,गद्दार कर्मचारियों और अधिकारियों(जिन पर हमारे नेता आँख बन्दकर भरोसा करते हैं) को मारेगा और हमारे कमजोर सिपाही कुछ नही कर पायेंगे भूख के कारण...
 
 भ्रष्ट, गद्दार कर्मचारियों और अधिकारियों ने सैनिको को घटिया राशन भेजकर सैनिको को कमजोर कर दिया है जिससे हमारे सैनिक कमजोर हो गये है और पाकिस्तान का सैनिक भारत में 250मीटर घुसकर हमारे कमजोर सैनिक का सर काटकर सबूत के रूप में ले गया ...",CAG
"कंटपा ने बाहुबली को क्यो मारा ये तो आप को पता चल जाएगा , लेकिन नोटबंदी से क्या लाभ हुआ , ये हास्यपद और गोपनीय ही रहेगा ! मीडिया के पिछले जुमलो का स्मरण करिए , ये देखिये नक्सलियों की नोटबंदी से कमर टूटी , नोट बर्बाद हो गए , पाकिस्तान को मुह की पड़ी , आंतकवादी की कमी , इससे तो ज्यादा हास्यपद मीडिया दाऊद इब्राहिम की नोटबंदी से कमर टूटने , दहसत मे होने की ख़बर देता है ! 
 
 सवालों से घिरा पिंजरा है , पंछी फ़ुर्र है !",CAG
दंगाई के कुर्सी में बैठ जाने से चरित्र नही सुधरता।,CAG
बाबा के श्राप देने से ही पाकिस्तानी मर जायेंगे ।,CAG
कब और कितने सर काटने के बाद कहां है वो एक के बदले दस सिर क्या वो सिर्फ चुनावी भाषण ही था,CAG
सोनु निगम को पुलिस थाने मे कल हाजीर होना है कल,CAG
"पाकिस्तान कॊ सबक सिखाना ही पड़ेगा...
  मोदीजी देश की जनता आपके साथ हॆ धो डालो सालों कॊ विश्वास करो हिंदू क्या मुस्लिम क्या सिख क्या सब आपके साथ हॆ...बहुत हो गया अब देखा नही जाता..???",CAG
"देशभूमि उत्तराखण्ड की पहली जनहितों के लिए समर्पित सरकार को गिराने की भूल करने वाले सत्तालोलुपु नेताओं को रोके मोदी
 
 नैतिकता की दुहाई देने वाले क्यों तिवारी, बहुगुणा के कुशासन, कुम्भ व स्टर्जिया प्रकरण पर मूक रहे
 
 नई दिल्ली(प्याउ)। लोकसभा चुनाव 2014 में देश की जनता ने जहां मनमोहनी कुशासन से मुक्ति के लिए नरेन्द्र मोदी का ऐतिहासिक समर्थन दे कर पूर्ण बहुमत से सत्तासीन करने का कार्य किया। देश की जनता द्वारा सुशासन की आश में दिये इस समर्थन की आड़ में कुछ पदलोलुपु उत्तराखण्डी भाजपाई नेता देवभूमि उत्तराखण्ड में राज्य गठन के 13 साल बाद सत्तासीन पहली जनहितों के लिए समर्पित हरीश रावत की सरकार को गिराने के लिए नरेन्द्र मोदी को गुमराह कर रहे हैं। 
 आज उत्तराखण्ड की जनता ने केन्द्र में आसीन रही मनमोहनी कुशासन को उखाड़ फेंकने व देश में सुशासन को स्थापित करने के लिए नरेन्द्र मोदी को खुला समर्थन दिया है। न की प्रदेश में राज्य गठन के बाद पहली बार जनांकांक्षाओं को साकार करने के लिए समर्पित हो कर काम कर रही हरीश रावत की सरकार को गिराने के लिए। 
 देश के जननायक मोदी को इस बात का अहसास होगा कि उत्तराखण्ड में अब तक जितनी भी भाजपा व कांग्रेस की सरकारें रही (तिवारी, खण्डूडी, निशंक व बहुगुणा आदि )उन्होंने प्रदेश की जनांकांक्षाओं को साकार करने के बजाय उनका गला घोंटने का काम किया। 
 
 ऐसे जनहितों को निर्ममता से रौंदने वाले कुशासको व गत वर्ष का केदारघाटी में आयी त्रासदी से उबरने में कारगर साबित हो रहे प्रदेश के वर्तमान मुख्यमंत्री हरीश रावत की सरकार को काफी आशायें है। जिस प्रकार से मुख्यमंत्री हरीश रावत ने अपने चंद महिने के शासन में कई जमीनी कार्य करके जनता के डममगाते विश्वास को पटरी में लाने का काम किया। उसके बाद प्रदेश की जनता को लगा कि पहली बार अपनी कोई सरकार सत्तासीन हुई है। खासककर जो सरकार गैरसेंण के सपने को साकार करने के लिए कृत संकल्पित हो, जो सरकार की जनता के सरकारों से उतर चूके विश्वास को पटरी पर ला सकती है, जो सरकार भ्रष्टाचारी नौकरशाहों व नेताओं के गठजोड़ पर अंकुश लगा सकता है। जो उत्तराखण्डी जनांकांक्षाओं को साकार करने के लिए कृत संकल्पित है। 
 नहीं तो पूर्ववर्ती तिवारी, खण्डूडी, निशंक व बहुगुणा की सरकारों ने जिस निर्ममता से प्रदेश की जनांकाक्षाओं को रौंदने का काम किया था उससे जनता का विश्वास ही टुट गया था। जिस प्रकार से पूर्ववर्ती सरकारों ने मुजफरनगरकाण्ड के दोषियों को संरक्षण देने, गैरसैंण पर छलने, जनसंख्या पर आधारित परिसीमन थोपने, भ्रष्टाचार के कृत्यों से जनता को छलने का कार्य ही किया। प्रदेश की जनता में अभी कुम्भ घोटाले व स्टर्जिया घोटाले व बहुगुणा के कुशासन के दंश अभी भी व्यथित कर रहे है। ऐसे में नैतिकता की दुहाई देने वाले भाजपा के तमाम नेता चाहे खण्डूडी हो या निशंक या सतपाल महाराज इनमें से किसी को भी नैतिकता की दुहाई देने का हक नहीं है। ये नेता बताये कि ये लोग स्टर्जिया, कुम्भ प्रकरण , तिवारी व बहुगुणा के कुशासन आदि पर क्यों शर्मनाक मूक रखे हुए थे। क्यों इन्होंने मुजफरनगर काण्ड-94 के ेगुनाहगारों व मुलायम के कहारों को संरक्षण देने का काम किया। क्यों ने नेता अपने संकीर्ण स्वार्थ के पीछे प्रदेश को बांधों में डूबों कर बर्बाद करने के लिए जुटे हुए थे ? क्यों इन्होंने जनसंख्या पर आधारित परिसीमन पर मूक साध कर प्रदेश के हितों को रौंदने का कार्य किया।===============",CAG
"ये अंदर की लड़ाई बन्द करो, मिल जुल कर काम करो और खुशहाल देश बनाओ, तुम जैसो ने देश बर्बाद कर दिया है। कोई काम कर रहा है तो उसका साथ दो । सबकी तरक्की मे ही भला हैं।।।।",CAG
"हद हो गई अब तो यार ,,,
 ,
 अब ये अफवाह कोन फैला रहा है ,
 की सोनू निगम का बाप ,
 :
 :
 :
 :
 पूरा ""नगर निगम"" है
 
 😂😂😜😜",CAG
एबीपी न्युज चैनल वाले चल दो जोडने...बेशर्मी की सारे हद पार कर दिए....,CAG
"देखिए हिन्दूस्तान एक एैसी जगह है जहां हर इंसान की सुबह मंदिर की घण्टी और अजान के साथ होती हैं। 
 हम हिन्दूस्तानी इसके बिना अधूरे हैं। हम सब बच्चपन से ही इसी माहोल में बडे हुए हैं घर के पास राम कथा हो या मस्जिद में तकरीर या जो कुछ भी होता आ रहा हो हम सभी समुदायों के लोग उसमें बड चढ़ कर हिस्सा लेते आ रहे हैं क्योंकि यही हमारी गंगा जमुना की संस्कृति की है। 
 इसलिए हो सके तो आग में घी ना डाले, आप तो फिर भी महेल जैसे घर के बंदे ए सी कमरे में सोते हैं फिर भी नीद में खलल की बात कर रहे!! ना जाने कितने हिन्दूस्तानी सड़कों पर रोज सोते हैं उनकी सुबह एैसे ही होती आ रही कृपया एैसी बातें ना करें जिससे हिन्दूस्तान के घरों में नफरत की एक और आग जलने लगे!!! 😢",CAG
"किसी को लगता हिन्दू खतरे में है,
 
 किसी को लगता मुसलमान खतरे में है,
 
 धर्म का चश्मा उतार कर देखो यारो...
 
 पता चलेगा हमारा हिन्दुस्तान खतरे में है !!",CAG
"...दिल खोलकर
 .
 .और
 .
 .बिना डर के
 .
 .लिखते हैँ फेसबुक पे सच्चाई
 .अगर
 .
 .गुमराह करते
 .तो
 मोदी जी की जगह होते",CAG
"यार पोस्ट तो ठीक हँ
 देश वासी सर मांग रहे हँ।
 कश्मीर से 370 धारा खत्म करने की मांग करो भाइयो।",CAG
बदले बदले सरकार नजर आते हो राज बड़ा है ????,CAG
किस देश के हो भाई आप जो इस तरह का समर्थन किये हो पाकिस्तान का,CAG
अब एंबुलेंस गाय ले जाने के लिए लगा दी गई है,CAG
देश की जनता और मीडिया को दिखा रहे है या क्या कम है।,CAG
"भारत में निंदा करने को ही कारवाही समझ जाता है, अरुण जेटली ने निंदा कर् दिया, बात ख़त्म।",CAG
"हिंदुस्तान चूप नहीं बैठेगा, मोदीजी और हिंदुस्तानी सेना दिखायेंगी छप्पन इंच सीना!",CAG
निंदा मंत्री की कड़ी निंदा जल्द ही सर्जिकल किया जाएगा,CAG
"कोई नही मोदी जी आप बदला लोगे ये हमे विश्वास है , क्योंकि आप दुश्मनो को आराम आराम से मारते हो और अंदर घुस के मारते हो ,आपके बाद आपकी कुर्सी पर एक और आपका शेर जल्द आएगा , जिसकी रफ्तार इतनी है कि वो न ही किसी की सुनता ,ना ही किसी को सबूत के लिए कोई बयान देता ,और ना ही किसी काम के लिए इंतेजार करता , वो अंदर घुस के मारेगा नही सीधा दुनिया की नजरों से उस मुल्क को अदृश्य कर देगा क्योंकि वो अपनी जिंदगी में सिर्फ इजरायल को अपना आदर्श मानता है और उसी के तर्ज पर काम भी करता है। मोदी जी आप बाहुबली 1st पार्ट हो और वो बाहुबली 2nd है , 2014 में आप रिलीज़ हुए ,2024 में वो रिलीज़ होगा ।",CAG
अढाई साल मेँ टूटी आस...और चलो मोदी के साथ....ना रोजगार ना विकास....बस नोटबंदी और बकवास...सबके साथ समान विनाश...बस भाषण और मन की बात....,CAG
विदिशा से बीजेपी की सुषमा स्वराज आगे,NAG
समाचार मैं रहने का अच्छा मौका है देश और सेना सेना और भारत माता,NAG
मोदी जी लाल बत्ती हटने भर से काम नही चलने वाला जब सरकारी कर्मचारियों का पेंशन बंद तो विधायकों और सासदों का भी पेन्शन और अन्य फिजूल खरचे बंद होना चाहिए ।,NAG
सारे जहां से अच्छा हिंदुस्तान हमारा,NAG
सभी को मिलजुल कर चलना पड़ेगा तब गुंडाराज खत्म होगा,NAG
20 लाख स्वतंत्रता सेनानी को दे दो,NAG
सच्चाई किया है,NAG
कटप्पा ने बाहुबली को क्यों मारा,NAG
"सब लोग के लिए एक संदेश ये है की
सोच बदलो तो इंडिया बदलेगा
योगी जी हम आपके साथ हैं...
आप यह कर सकते हैं",NAG
आपके देश से ज्यादा अपनी इमेज प्यारा था कहीं मेरी इमेज ना खराब हो जाए क्योंकि नहीं आए थे वही हो रहा है और जिनको अपनी इमेज की परवा नहीं वो लोग लड़ रहे हैं,NAG
चैंपकैश एप्लीकेशन बहुत बढ़िया ऐप है मेरे 20 दिन में 20 डॉलर की कमाई अगर आप भी मेरे जेसी कमाई करना चाहते हैं तो जल्द से जल्द चैंपकैश ऐप डाउनलोड करें ओर 505245 पर आईडी अपलोड करें आप भी बताउगा ज्वाइनिंग के लिए मेरा व्हाट्सएप नंबर 9049042221,NAG
साला इसे अच्छा एटीएम के लाइन में खड़ा हो जाता... कम से कम पैसे तो आ जाते हाथ में!!!!,NAG
AAP का समर्थन ही करना है,NAG
रवीश जी ऐसी ही खबर लाए। धन्यवाद,NAG
बहुत अच्छा किया बीजेपी को वोट देकर अब तो उम्मीद कर ही सकते है कि यूपी के जितने भी बूचड़खाने है सब बंद होने चाहिए,NAG
@ShekharGupta के साथ चलते-चलते में रात 9.30 देखिए #Flipkart के संस्थापकों से खास बातचीत,NAG
बहुत खूब,NAG
"देश बदल रहा है, आगे निकल रहा है 🎉👍🙏",NAG
"एक आम आदमी सुबह जागने के बाद सबसे पहले टॉयलेट जाता है, 
बाहर आ कर साबुन से हाथ धोता है,

दाँत ब्रश करता है,

नहाता है,

कपड़े पहनकर तैयार होता है, अखबार पढता है,

नाश्ता करता है,

घर से काम के लिए निकल जाता है,

बाहर निकल कर रिक्शा करता है, फिर लोकल बस या ट्रेन में या अपनी सवारी से ऑफिस पहुँचता है,

वहाँ पूरा दिन काम करता है, साथियों के साथ चाय पीता है,
 शाम को वापिस घर के लिए निकलता है,

घर के रास्ते में 

बच्चों के लिए टॉफी, बीवी के लिए मिठाई वगैरह लेता है,

मोबाइल में रिचार्ज करवाता है, और अनेक छोटे मोटे काम निपटाते हुए घर पहुँचता है,

अब आप बताइये कि उसे दिन भर में कहीं कोई ""हिन्दू"" या ""मुसलमान"" मिला ?

क्या उसने दिन भर में किसी ""हिन्दू"" या ""मुसलमान"" पर कोई अत्याचार किया ?

उसको जो दिन भर में मिले वो थे.. अख़बार वाले भैया,

दूध वाले भैया,

रिक्शा वाले भैया,

बस कंडक्टर,

ऑफिस के मित्र,

आंगतुक,

पान वाले भैया,

चाय वाले भैया,

टॉफी की दुकान वाले भैया,

मिठाई की दूकान वाले भैया..

जब ये सब लोग भैया और मित्र हैं तो इनमें ""हिन्दू"" या ""मुसलमान"" कहाँ है ?

""क्या दिन भर में उसने किसी से पूछा कि भाई, तू ""हिन्दू"" है या ""मुसलमान"" ?

अगर तू ""हिन्दू"" या ""मुसलमान"" है तो मैं तेरी बस में सफ़र नहीं करूँगा,

तेरे हाथ की चाय नहीं पियूँगा,

तेरी दुकान से टॉफी नहीं खरीदूंगा,

क्या उसने साबुन, दूध, आटा, नमक, कपड़े, जूते, अखबार, टॉफी, मिठाई खरीदते समय किसी से ये सवाल किया था कि ये सब बनाने और उगाने वाले ""हिन्दू"" हैं या ""मुसलमान"" ?

""जब हमारी रोजमर्रा की ज़िन्दगी में मिलने वाले लोग ""हिन्दू"" या ""मुसलमान"" नहीं होते तो फिर क्या वजह है कि ""चुनाव"" आते ही हम ""हिन्दू"" या ""मुसलमान"" हो जाते हैं ?

समाज के तीन जहर

टीवी की बेमतलब की बहस

राजनेताओ के जहरीले बोल

और  कुछ कम्बख्त लोगो के सोशल मीडिया के भड़काऊ मैसेज 

इनसे दूर रहे तो  शायद बहुत हद तक समस्या तो हल हो ही जायेगी.

शेयर करें छलावों से बचें....

सिर्फ पढ़े लिखे लोग शेयर करे।।जाहिल लोग delete कर दे ।।।पढ़ा लिखा समझकर ही आपको भेजा है।।।",NAG
"हम पत्रकारों के बारे में आम जनता में मुगालता भले ही हो कि पुलिस इनके साथ फ्रैंडली है, लेकिन वह सभी पत्रकार साथी जो अब भी खबर अपने हिसाब से लिखते हैं, प्रेस नोट के लिहाज से नहीं, हमेशा ही पुलिस के राडार में आने की आशंका पाले रहते हैं। लेकिन जिनसे कोई बैर ही न हो, वह कैसे किसी हिंसा की लपेट में आ सकता है?",NAG
"कृपया ध्यान दीजिए ! 
अब हर कोई अपने android mobile 📱 से घर बैठे हजारों रुपए हर महीने कमा सकता है और वो भी बिना कोई पैसा लगाए।
ये झूठ नहीं है। मैं इससे  15000-30000 रूपए हर महीने कमा रहा हूँ। आपके join होने के बाद मैं आपसे contact करके सारे proof दूंगा और आगे कैसे काम करना है, वो भी बताया जायेगा। 
Join होने के लिए
1. अपने android phone के play store में champcash लिखो और उस app को अपने mobile phone में install कर लो।
2. अब app को open करके sign up with champcash पर click करके अपनी details भर दें।
3. Refer id of sponsor पूछेगा वहाँ पर 9044274 डाल दो। 
इस I'D (9044274) को खाली पेपर पर लिख लें आगे जरूरत पङेगी। 
4. complete challenge और अपनी id activate करके business से जुड़ जाओ।
.....जय हिन्द.....जय चैंपकैश...",NAG
मिट्टी में वह मिलने की औकात है...तुमलोगो की ..खजाने तो खर्च कर दिए जाते हैं...कचरे में वह कमाल खिलते हैं,NAG
"ना गीता बुरी है,
ना कुरान बुरा है,
ना हिन्दू बुरा है,
ना मुसलमान बुरा है,
ना खुदा बुरा है,
ना भगवान बुरा है,
दिमाग में जो बैठा है,
वो शैतान बुरा है !!!
एक बनो--नेक बनो",NAG
मैगी पर नेस्ले के ग्लोबल CEO पॉल बुल्के ने सफाई दी.. देखें यह वीडियो...,NAG
"जब है समाधान तो क्यो हो परेशान ; समस्या का समाधान घर बैठे और  फोन पर करवा सकते और समस्या कोई भी हो जड़ से खत्म। 9501244448 ,9872834448
भटके और घबराये हुए मित्र एक बार अवश्य. मिलें। ((ASTROLOGER RAVIKANT JI GAUR }}}
भारतीय वैदिक ज्योतिषी """"रविकांत जी गौड़"""""" Famous in UK,USA,CANADA,INDIA {{95012-44448}}
नौकरी,कारोबार,प्रेम विवाह,विदेश यात्रा में रूकावट,पढ़ाई में मन न लगना,घर में कलेश,काम बनते बनते बिगड़ जाना ,संतान सुख न मिलना ,बिमारी में दवा न लगना,वशीकरण करना,तुड़वाना,सास बहु मेंअनबन,मुकदमा केस समस्या  ,खून क छींटे आना,सौतन दुशमन से छुटकारा,किया- कराया,जड़ से खत्म और वहमों -भरमों से बचो,ग्रहों और कुण्डली के ग्रहों का वैदिक उपायों करवाओ और जीवन सुखी बनाओ।
ज्योतिषी रविकांत गौड़
mb:95012444448",NAG
